best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,72,-26.0,-8.5585,-7.4,0,-1.33,2.5,3.83,0,1508.0,1505.374,2.626
3,72,27.0,8.0989,-1.5,1,1.33,-0.33,3.67,0,1505.374,1508.0,-2.626
3,72,-27.0,-8.0989,1.5,0,-1.33,0.33,-3.67,0,1508.0,1505.374,2.626
3,36,94.0,8.6503,2.3,1,1.33,-3.66,-3.0,0,1508.0,1508.0,0.0
3,36,-94.0,-8.6503,-2.3,0,-1.33,3.66,3.0,0,1508.0,1508.0,-0.0
3,36,18.0,7.9745,-4.3,1,-4.67,0.67,-0.67,0,1508.0,1508.0,0.0
3,36,-18.0,-7.9745,4.3,0,4.67,-0.67,0.67,0,1508.0,1508.0,-0.0
3,36,-43.0,-8.5009,0.7,1,-3.0,-0.0,-0.66,0,1508.0,1508.0,0.0
3,36,43.0,8.5009,-0.7,0,3.0,0.0,0.66,0,1508.0,1508.0,-0.0
3,36,35.0,7.0405,13.3,1,4.66,-0.0,-6.34,0,1508.0,1508.0,0.0
3,36,-35.0,-7.0405,-13.3,0,-4.66,0.0,6.34,0,1508.0,1508.0,-0.0
3,84,5.0,7.708,0.6,1,0.67,0.66,-3.33,0,1508.0606,1508.0606,0.0
3,84,-5.0,-7.708,-0.6,0,-0.67,-0.66,3.33,0,1508.0606,1508.0606,-0.0
3,42,44.0,8.565,-2.3,1,0.0,-2.5,1.25,0,1510.66667,1510.66667,0.0
3,42,-44.0,-8.565,2.3,0,-0.0,2.5,-1.25,0,1510.66667,1510.66667,-0.0
3,42,-11.0,-7.8379,10.1,1,3.25,-1.0,-3.0,0,1510.66667,1510.66667,0.0
3,42,11.0,7.8379,-10.1,0,-3.25,1.0,3.0,0,1510.66667,1510.66667,-0.0
3,18,23.0,6.2785,8.7,1,,,,0,1500.0,1496.44444,3.55556
3,18,-23.0,-6.2785,-8.7,0,,,,0,1496.44444,1500.0,-3.55556
3,36,67.0,7.0917,-1.1,1,3.5,-1.5,7.5,0,1496.19048,1496.19048,0.0
3,36,-67.0,-7.0917,1.1,0,-3.5,1.5,-7.5,0,1496.19048,1496.19048,-0.0
3,18,13.0,4.9836,5.9,1,-2.0,2.0,-0.5,0,1496.19048,1496.19048,0.0
3,18,-13.0,-4.9836,-5.9,0,2.0,-2.0,0.5,0,1496.19048,1496.19048,-0.0
3,36,11.0,6.5999,1.0,1,-8.33,-0.0,2.67,0,1495.9543,1497.33333,-1.37903
3,36,-11.0,-6.5999,-1.0,0,8.33,0.0,-2.67,0,1497.33333,1495.9543,1.37903
3,18,-88.0,-6.4184,-8.2,1,,,,0,1500.0,1496.19048,3.80952
3,18,88.0,6.4184,8.2,0,,,,0,1496.19048,1500.0,-3.80952
3,36,16.0,7.0825,6.2,1,,,,0,1500.0,1496.3907,3.6093
3,36,-16.0,-7.0825,-6.2,0,,,,0,1496.3907,1500.0,-3.6093
3,18,-44.0,-6.2672,0.2,1,1.0,-0.5,-0.5,0,1496.19048,1497.33333,-1.14285
3,18,44.0,6.2672,-0.2,0,-1.0,0.5,0.5,0,1497.33333,1496.19048,1.14285
3,36,13.0,7.8462,0.9,1,,,,0,1500.0,1500.0,0.0
3,36,-13.0,-7.8462,-0.9,0,,,,0,1500.0,1500.0,-0.0
3,18,425.0,7.1678,2.6,1,,,,0,1500.0,1500.0,0.0
3,18,-425.0,-7.1678,-2.6,0,,,,0,1500.0,1500.0,-0.0
3,36,-10.0,-6.8363,-6.5,1,,,,0,1500.0,1497.33333,2.66667
3,36,10.0,6.8363,6.5,0,,,,0,1497.33333,1500.0,-2.66667
3,18,12.0,5.112,8.3,1,-2.0,-4.0,-1.67,0,1495.9543,1497.33333,-1.37903
3,18,-12.0,-5.112,-8.3,0,2.0,4.0,1.67,0,1497.33333,1495.9543,1.37903
3,36,-155.0,-7.013,3.0,1,,,,0,1496.19048,1500.0,-3.80952
3,36,155.0,7.013,-3.0,0,,,,0,1500.0,1496.19048,3.80952
3,18,5.0,3.5553,5.5,1,0.75,-6.75,1.5,0,1497.33333,1496.44444,0.88889
3,18,-5.0,-3.5553,-5.5,0,-0.75,6.75,-1.5,0,1496.44444,1497.33333,-0.88889
3,36,81.0,7.8823,1.3,1,1.33,3.0,-0.33,0,1496.0,1497.33333,-1.33333
3,36,-81.0,-7.8823,-1.3,0,-1.33,-3.0,0.33,0,1497.33333,1496.0,1.33333
3,18,2.0,3.6376,-9.8,1,1.5,2.5,-0.5,0,1496.19048,1497.33333,-1.14285
3,18,-2.0,-3.6376,9.8,0,-1.5,-2.5,0.5,0,1497.33333,1496.19048,1.14285
3,36,-55.0,-7.6401,-5.5,1,,,,0,1497.33333,1500.0,-2.66667
3,36,55.0,7.6401,5.5,0,,,,0,1500.0,1497.33333,2.66667
3,18,89.0,6.541,8.2,1,,,,0,1497.33333,1500.0,-2.66667
3,18,-89.0,-6.541,-8.2,0,,,,0,1500.0,1497.33333,2.66667
3,36,-6.0,-5.8319,-9.6,1,3.5,6.0,-7.0,0,1496.19048,1497.33333,-1.14285
3,36,6.0,5.8319,9.6,0,-3.5,-6.0,7.0,0,1497.33333,1496.19048,1.14285
3,18,2.0,2.3026,-0.7,1,0.0,2.0,6.0,0,1497.33333,1497.33333,0.0
3,18,-2.0,-2.3026,0.7,0,-0.0,-2.0,-6.0,0,1497.33333,1497.33333,-0.0
3,36,-4.0,-6.4785,2.8,1,,,,0,1497.33333,1500.0,-2.66667
3,36,4.0,6.4785,-2.8,0,,,,0,1500.0,1497.33333,2.66667
3,18,-3.0,-3.5553,-3.6,1,,,,0,1500.0,1497.33333,2.66667
3,18,3.0,3.5553,3.6,0,,,,0,1497.33333,1500.0,-2.66667
3,36,-17.0,-7.9466,4.2,1,3.85,-0.05,2.7,-1,1496.44444,1494.66667,1.77777
3,36,17.0,7.9466,-4.2,0,-3.85,0.05,-2.7,1,1494.66667,1496.44444,-1.77777
3,18,14.0,5.8579,-5.4,1,1.5,-0.5,-4.5,0,1496.19048,1497.33333,-1.14285
3,18,-14.0,-5.8579,5.4,0,-1.5,0.5,4.5,0,1497.33333,1496.19048,1.14285
3,36,58.0,7.698,4.0,1,-6.0,-1.0,0.0,0,1497.33333,1497.33333,0.0
3,36,-58.0,-7.698,-4.0,0,6.0,1.0,-0.0,0,1497.33333,1497.33333,-0.0
3,18,11.0,5.2523,1.9,1,-2.0,-5.0,-3.0,0,1497.33333,1497.33333,0.0
3,18,-11.0,-5.2523,-1.9,0,2.0,5.0,3.0,0,1497.33333,1497.33333,-0.0
3,36,-55.0,-7.6049,0.4,1,-3.0,1.0,-2.0,0,1496.15539,1497.33333,-1.17794
3,36,55.0,7.6049,-0.4,0,3.0,-1.0,2.0,0,1497.33333,1496.15539,1.17794
3,18,-3.0,-3.3673,-9.8,1,-5.0,-1.0,-4.0,0,1496.19048,1496.19048,0.0
3,18,3.0,3.3673,9.8,0,5.0,1.0,4.0,0,1496.19048,1496.19048,-0.0
3,36,2.0,3.5835,5.5,1,,,,0,1497.33333,1500.0,-2.66667
3,36,-2.0,-3.5835,-5.5,0,,,,0,1500.0,1497.33333,2.66667
3,18,77.0,6.157,9.0,1,,,,0,1496.19048,1500.0,-3.80952
3,18,-77.0,-6.157,-9.0,0,,,,0,1500.0,1496.19048,3.80952
3,18,35.0,6.42,-5.9,1,1.0,-0.0,-0.33,0,1496.0,1497.33333,-1.33333
3,18,-35.0,-6.42,5.9,0,-1.0,0.0,0.33,0,1497.33333,1496.0,1.33333
3,48,75.0,7.114,1.0,1,,,,0,1504.57143,1500.0,4.57143
3,48,-75.0,-7.114,-1.0,0,,,,0,1500.0,1504.57143,-4.57143
3,48,-7.0,-6.3208,-0.2,1,1.0,1.0,2.0,0,1505.34125,1502.63897,2.70228
3,48,7.0,6.3208,0.2,0,-1.0,-1.0,-2.0,0,1502.63897,1505.34125,-2.70228
3,24,-22.0,-6.2691,-2.4,1,1.0,1.67,0.33,0,1504.57143,1502.63938,1.93205
3,24,22.0,6.2691,2.4,0,-1.0,-1.67,-0.33,0,1502.63938,1504.57143,-1.93205
3,48,-18.0,-8.0084,-4.6,1,8.0,-8.0,-4.0,0,1502.6462,1502.66667,-0.02047
